pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-11-30 22:23:09+00:00,2022-11-30 22:39:04+00:00,2.200000000,12.000000000,1,13.300000000,Brooklyn
2022-11-30 22:22:00+00:00,2022-11-30 22:22:04+00:00,0E-9,40.000000000,1,52.390000000,Brooklyn
2022-11-30 22:18:28+00:00,2022-11-30 22:18:42+00:00,0E-9,30.850000000,1,37.380000000,Brooklyn
2022-11-30 22:16:54+00:00,2022-11-30 22:20:20+00:00,0.280000000,4.000000000,2,5.300000000,Brooklyn
2022-11-30 22:16:33+00:00,2022-11-30 22:43:46+00:00,6.980000000,28.710000000,0,35.210000000,Brooklyn
2022-11-30 22:15:33+00:00,2022-11-30 22:52:36+00:00,0E-9,53.200000000,1,60.550000000,Brooklyn
2022-11-30 22:15:27+00:00,2022-11-30 22:23:15+00:00,2.500000000,9.500000000,1,15.300000000,Brooklyn
2022-11-30 22:12:34+00:00,2022-11-30 22:22:37+00:00,2.260000000,9.500000000,2,10.800000000,Brooklyn
2022-11-30 22:11:59+00:00,2022-11-30 22:29:27+00:00,12.200000000,33.500000000,3,34.800000000,Brooklyn
2022-11-30 22:03:40+00:00,2022-11-30 22:16:08+00:00,3.380000000,12.500000000,1,20.380000000,Brooklyn
2022-11-30 22:03:08+00:00,2022-11-30 22:25:56+00:00,3.720000000,16.000000000,1,20.760000000,Brooklyn
2022-11-30 22:02:15+00:00,2022-11-30 22:27:29+00:00,7.880000000,26.000000000,1,35.760000000,Brooklyn
2022-11-30 22:01:33+00:00,2022-11-30 22:20:18+00:00,3.700000000,15.500000000,1,23.150000000,Brooklyn
2022-11-30 21:57:01+00:00,2022-11-30 22:18:18+00:00,7.990000000,24.500000000,1,29.800000000,Brooklyn
2022-11-30 21:56:32+00:00,2022-11-30 22:01:55+00:00,0.800000000,6.000000000,1,8.750000000,Brooklyn
2022-11-30 21:56:26+00:00,2022-11-30 22:48:53+00:00,16.300000000,53.000000000,1,72.780000000,Brooklyn
2022-11-30 21:54:34+00:00,2022-11-30 21:58:31+00:00,0.850000000,5.000000000,1,11.300000000,Brooklyn
2022-11-30 21:51:57+00:00,2022-11-30 22:07:45+00:00,6.730000000,20.500000000,2,24.300000000,Brooklyn
2022-11-30 21:49:40+00:00,2022-11-30 22:04:59+00:00,8.600000000,24.500000000,2,25.800000000,Brooklyn
2022-11-30 21:49:28+00:00,2022-11-30 21:59:20+00:00,2.760000000,10.000000000,1,17.250000000,Brooklyn
2022-11-30 21:45:53+00:00,2022-11-30 22:15:02+00:00,19.680000000,52.500000000,2,53.800000000,Brooklyn
2022-11-30 21:44:18+00:00,2022-11-30 21:44:51+00:00,4.000000000,2.500000000,2,3.800000000,Brooklyn
2022-11-30 21:43:18+00:00,2022-11-30 21:51:48+00:00,1.420000000,7.500000000,2,8.800000000,Brooklyn
2022-11-30 21:42:54+00:00,2022-11-30 21:43:59+00:00,0.170000000,3.000000000,2,4.300000000,Brooklyn
2022-11-30 21:41:29+00:00,2022-11-30 21:45:05+00:00,0.880000000,5.000000000,2,6.300000000,Brooklyn
2022-11-30 21:41:26+00:00,2022-11-30 21:55:10+00:00,5.700000000,18.000000000,1,26.160000000,Brooklyn
2022-11-30 21:40:11+00:00,2022-11-30 21:57:10+00:00,4.180000000,15.000000000,1,20.680000000,Brooklyn
2022-11-30 21:39:46+00:00,2022-11-30 21:54:04+00:00,3.830000000,14.000000000,1,17.800000000,Brooklyn
2022-11-30 21:37:23+00:00,2022-11-30 21:55:22+00:00,3.300000000,12.500000000,1,19.550000000,Brooklyn
2022-11-30 21:36:49+00:00,2022-11-30 21:39:01+00:00,0.450000000,4.000000000,2,5.300000000,Brooklyn
2022-11-30 21:36:45+00:00,2022-11-30 21:49:35+00:00,2.930000000,12.000000000,2,15.800000000,Brooklyn
2022-11-30 21:31:54+00:00,2022-11-30 22:16:36+00:00,0E-9,29.200000000,1,43.100000000,Brooklyn
2022-11-30 21:23:22+00:00,2022-11-30 21:43:12+00:00,7.270000000,22.500000000,1,28.560000000,Brooklyn
2022-11-30 21:21:03+00:00,2022-11-30 21:31:57+00:00,3.490000000,12.500000000,1,16.560000000,Brooklyn
2022-11-30 21:19:09+00:00,2022-11-30 21:35:34+00:00,3.270000000,16.980000000,0,24.340000000,Brooklyn
2022-11-30 21:15:44+00:00,2022-11-30 21:27:06+00:00,2.900000000,11.500000000,1,17.300000000,Brooklyn
2022-11-30 21:15:15+00:00,2022-11-30 21:35:13+00:00,2.920000000,13.500000000,1,18.500000000,Brooklyn
2022-11-30 21:14:30+00:00,2022-11-30 21:28:47+00:00,8.500000000,24.000000000,1,29.300000000,Brooklyn
2022-11-30 21:10:46+00:00,2022-11-30 21:20:33+00:00,1.470000000,8.500000000,1,11.760000000,Brooklyn
2022-11-30 21:10:35+00:00,2022-11-30 21:28:28+00:00,4.540000000,17.000000000,1,23.790000000,Brooklyn
2022-11-30 21:01:59+00:00,2022-11-30 21:12:38+00:00,2.200000000,10.000000000,1,13.550000000,Brooklyn
2022-11-30 21:00:36+00:00,2022-11-30 21:11:23+00:00,1.710000000,9.000000000,1,13.390000000,Brooklyn
2022-11-30 20:53:09+00:00,2022-11-30 21:07:21+00:00,3.400000000,13.000000000,2,14.300000000,Brooklyn
2022-11-30 20:52:02+00:00,2022-11-30 21:23:41+00:00,18.640000000,50.000000000,1,64.120000000,Brooklyn
2022-11-30 20:43:33+00:00,2022-11-30 21:02:59+00:00,3.770000000,15.000000000,2,18.800000000,Brooklyn
2022-11-30 20:40:37+00:00,2022-11-30 20:45:34+00:00,0.770000000,5.500000000,1,8.840000000,Brooklyn
2022-11-30 20:36:08+00:00,2022-11-30 20:36:23+00:00,0E-9,2.500000000,4,3.800000000,Brooklyn
2022-11-30 20:28:24+00:00,2022-11-30 20:41:14+00:00,3.170000000,12.000000000,1,18.960000000,Brooklyn
2022-11-30 20:26:55+00:00,2022-11-30 20:41:30+00:00,2.200000000,11.500000000,1,15.350000000,Brooklyn
2022-11-30 20:25:21+00:00,2022-11-30 20:35:51+00:00,2.200000000,9.500000000,1,12.960000000,Brooklyn
2022-11-30 20:24:07+00:00,2022-11-30 20:27:30+00:00,0.600000000,4.500000000,1,6.960000000,Brooklyn
2022-11-30 20:19:21+00:00,2022-11-30 20:34:36+00:00,4.270000000,16.000000000,1,20.760000000,Brooklyn
