pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-11-30 23:50:05+00:00,2022-12-01 00:14:27+00:00,11.030000000,32.500000000,1,45.100000000,Queens
2022-11-30 23:49:43+00:00,2022-12-01 00:28:42+00:00,19.200000000,52.000000000,1,63.100000000,Queens
2022-11-30 23:49:43+00:00,2022-11-30 23:51:19+00:00,0.910000000,4.500000000,2,7.050000000,Queens
2022-11-30 23:49:29+00:00,2022-12-01 00:32:43+00:00,19.300000000,52.000000000,2,56.550000000,Queens
2022-11-30 23:49:20+00:00,2022-12-01 00:06:50+00:00,11.820000000,32.500000000,1,41.810000000,Queens
2022-11-30 23:49:19+00:00,2022-11-30 23:50:03+00:00,0.140000000,2.500000000,2,5.050000000,Queens
2022-11-30 23:49:08+00:00,2022-12-01 00:16:47+00:00,15.500000000,43.000000000,1,50.050000000,Queens
2022-11-30 23:49:05+00:00,2022-12-01 00:06:06+00:00,6.100000000,19.500000000,1,25.050000000,Queens
2022-11-30 23:49:03+00:00,2022-12-01 00:03:05+00:00,5.570000000,17.500000000,1,24.060000000,Queens
2022-11-30 23:48:57+00:00,2022-12-01 00:15:53+00:00,19.090000000,52.000000000,1,73.100000000,Queens
2022-11-30 23:48:53+00:00,2022-12-01 00:14:10+00:00,17.100000000,46.000000000,1,63.360000000,Queens
2022-11-30 23:48:53+00:00,2022-12-01 00:04:40+00:00,8.580000000,24.500000000,1,29.750000000,Queens
2022-11-30 23:48:47+00:00,2022-11-30 23:58:07+00:00,5.080000000,16.000000000,1,22.010000000,Queens
2022-11-30 23:48:39+00:00,2022-12-01 00:14:21+00:00,10.460000000,32.500000000,1,35.050000000,Queens
2022-11-30 23:48:25+00:00,2022-12-01 00:18:41+00:00,11.700000000,36.500000000,1,53.100000000,Queens
2022-11-30 23:48:12+00:00,2022-12-01 00:13:59+00:00,16.570000000,52.000000000,1,75.470000000,Queens
2022-11-30 23:47:55+00:00,2022-12-01 00:12:21+00:00,16.340000000,52.000000000,2,63.100000000,Queens
2022-11-30 23:47:33+00:00,2022-12-01 00:18:35+00:00,18.900000000,52.000000000,1,75.700000000,Queens
2022-11-30 23:47:28+00:00,2022-12-01 00:14:18+00:00,18.750000000,52.000000000,1,70.690000000,Queens
2022-11-30 23:47:27+00:00,2022-12-01 00:07:16+00:00,8.800000000,26.500000000,1,45.700000000,Queens
2022-11-30 23:47:26+00:00,2022-12-01 00:08:26+00:00,8.140000000,24.500000000,2,27.050000000,Queens
2022-11-30 23:47:20+00:00,2022-12-01 00:01:48+00:00,7.910000000,22.500000000,2,25.050000000,Queens
2022-11-30 23:47:15+00:00,2022-12-01 00:13:26+00:00,17.220000000,52.000000000,1,75.470000000,Queens
2022-11-30 23:47:11+00:00,2022-12-01 00:03:09+00:00,10.800000000,30.000000000,2,32.550000000,Queens
2022-11-30 23:47:09+00:00,2022-12-01 00:14:29+00:00,16.800000000,45.500000000,2,48.050000000,Queens
2022-11-30 23:47:06+00:00,2022-12-01 00:10:29+00:00,10.100000000,29.500000000,1,36.000000000,Queens
2022-11-30 23:47:01+00:00,2022-11-30 23:54:58+00:00,5.170000000,15.500000000,2,18.050000000,Queens
2022-11-30 23:46:53+00:00,2022-12-01 00:12:45+00:00,14.200000000,40.000000000,1,49.550000000,Queens
2022-11-30 23:46:48+00:00,2022-12-01 00:00:27+00:00,6.040000000,18.000000000,1,23.000000000,Queens
2022-11-30 23:46:48+00:00,2022-12-01 00:08:06+00:00,7.980000000,25.500000000,1,33.660000000,Queens
2022-11-30 23:46:39+00:00,2022-12-01 00:11:21+00:00,10.700000000,33.000000000,1,46.200000000,Queens
2022-11-30 23:46:28+00:00,2022-12-01 00:17:28+00:00,19.300000000,52.000000000,1,65.450000000,Queens
2022-11-30 23:46:17+00:00,2022-11-30 23:52:33+00:00,3.730000000,11.500000000,2,14.050000000,Queens
2022-11-30 23:46:04+00:00,2022-12-01 00:12:52+00:00,17.550000000,52.000000000,1,75.720000000,Queens
2022-11-30 23:46:02+00:00,2022-12-01 00:10:12+00:00,10.090000000,30.000000000,2,32.550000000,Queens
2022-11-30 23:45:59+00:00,2022-12-01 00:04:36+00:00,7.780000000,23.000000000,1,31.940000000,Queens
2022-11-30 23:45:59+00:00,2022-12-01 00:16:54+00:00,18.530000000,52.000000000,1,78.560000000,Queens
2022-11-30 23:45:57+00:00,2022-12-01 00:01:15+00:00,6.200000000,18.000000000,2,20.550000000,Queens
2022-11-30 23:45:49+00:00,2022-12-01 00:10:12+00:00,17.620000000,60.000000000,1,73.610000000,Queens
2022-11-30 23:45:48+00:00,2022-12-01 00:11:28+00:00,10.200000000,31.000000000,2,33.550000000,Queens
2022-11-30 23:45:44+00:00,2022-12-01 00:26:45+00:00,27.990000000,52.000000000,1,75.720000000,Queens
2022-11-30 23:45:41+00:00,2022-12-01 00:09:28+00:00,14.530000000,39.500000000,2,42.050000000,Queens
2022-11-30 23:45:29+00:00,2022-12-01 00:10:25+00:00,12.200000000,35.000000000,1,37.550000000,Queens
2022-11-30 23:45:19+00:00,2022-12-01 00:11:54+00:00,14.930000000,42.000000000,2,44.550000000,Queens
2022-11-30 23:45:15+00:00,2022-11-30 23:57:55+00:00,6.050000000,18.500000000,2,21.050000000,Queens
2022-11-30 23:45:02+00:00,2022-12-01 00:01:08+00:00,10.190000000,29.000000000,2,38.100000000,Queens
2022-11-30 23:45:02+00:00,2022-12-01 00:08:28+00:00,9.890000000,30.000000000,1,42.060000000,Queens
2022-11-30 23:44:54+00:00,2022-12-01 00:14:30+00:00,16.200000000,45.500000000,1,55.260000000,Queens
2022-11-30 23:44:39+00:00,2022-12-01 00:13:10+00:00,18.020000000,52.000000000,1,75.470000000,Queens
2022-11-30 23:44:32+00:00,2022-12-01 00:05:40+00:00,11.680000000,45.000000000,1,46.300000000,Queens
2022-11-30 23:44:32+00:00,2022-12-01 00:05:23+00:00,5.680000000,20.000000000,2,22.550000000,Queens
2022-11-30 23:44:27+00:00,2022-12-01 00:06:15+00:00,9.380000000,28.500000000,1,40.260000000,Queens
2022-11-30 23:44:22+00:00,2022-12-01 00:15:01+00:00,18.600000000,50.500000000,1,63.650000000,Queens
2022-11-30 23:44:18+00:00,2022-12-01 00:01:03+00:00,6.000000000,20.000000000,2,22.550000000,Queens
2022-11-30 23:44:14+00:00,2022-12-01 00:15:36+00:00,17.390000000,47.000000000,1,60.100000000,Queens
2022-11-30 23:44:07+00:00,2022-12-01 00:08:44+00:00,9.300000000,27.000000000,1,46.700000000,Queens
2022-11-30 23:44:03+00:00,2022-11-30 23:59:46+00:00,10.740000000,50.000000000,2,56.850000000,Queens
2022-11-30 23:43:43+00:00,2022-12-01 00:22:00+00:00,18.600000000,85.000000000,1,103.850000000,Queens
2022-11-30 23:43:32+00:00,2022-11-30 23:43:48+00:00,0.190000000,75.000000000,1,94.750000000,Queens
2022-11-30 23:43:24+00:00,2022-11-30 23:59:00+00:00,9.300000000,26.000000000,2,33.850000000,Queens
2022-11-30 23:43:13+00:00,2022-12-01 00:12:07+00:00,17.580000000,52.000000000,1,78.560000000,Queens
2022-11-30 23:42:56+00:00,2022-11-30 23:57:24+00:00,8.750000000,25.000000000,1,35.440000000,Queens
2022-11-30 23:42:38+00:00,2022-12-01 00:05:54+00:00,7.520000000,45.000000000,1,51.550000000,Queens
2022-11-30 23:42:36+00:00,2022-12-01 00:08:34+00:00,3.000000000,43.500000000,1,58.250000000,Queens
2022-11-30 23:42:25+00:00,2022-12-01 00:24:02+00:00,21.600000000,52.000000000,1,67.850000000,Queens
2022-11-30 23:42:24+00:00,2022-12-01 00:06:58+00:00,9.400000000,29.500000000,0,39.730000000,Queens
2022-11-30 23:42:19+00:00,2022-11-30 23:51:28+00:00,4.630000000,14.500000000,2,17.050000000,Queens
2022-11-30 23:42:08+00:00,2022-12-01 00:11:45+00:00,17.700000000,52.000000000,1,74.200000000,Queens
