pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-11-30 23:59:28+00:00,2022-11-30 23:59:36+00:00,0.130000000,52.000000000,1,66.360000000,Manhattan
2022-11-30 23:59:26+00:00,2022-12-01 00:09:56+00:00,3.750000000,20.340000000,0,23.640000000,Manhattan
2022-11-30 23:59:25+00:00,2022-12-01 00:18:17+00:00,6.890000000,20.500000000,1,37.020000000,Manhattan
2022-11-30 23:59:24+00:00,2022-12-01 00:23:15+00:00,2.590000000,16.500000000,2,20.300000000,Manhattan
2022-11-30 23:59:23+00:00,2022-12-01 00:17:01+00:00,5.540000000,-18.500000000,4,-22.300000000,Manhattan
2022-11-30 23:59:23+00:00,2022-12-01 00:17:01+00:00,5.540000000,18.500000000,4,22.300000000,Manhattan
2022-11-30 23:59:19+00:00,2022-12-01 00:09:13+00:00,2.340000000,10.000000000,2,13.800000000,Manhattan
2022-11-30 23:59:17+00:00,2022-12-01 00:20:38+00:00,10.420000000,29.500000000,1,47.820000000,Manhattan
2022-11-30 23:59:16+00:00,2022-12-01 00:07:54+00:00,2.320000000,9.000000000,1,15.360000000,Manhattan
2022-11-30 23:59:16+00:00,2022-12-01 00:07:27+00:00,1.720000000,8.500000000,1,15.990000000,Manhattan
2022-11-30 23:59:10+00:00,2022-12-01 00:05:34+00:00,1.730000000,7.500000000,2,11.300000000,Manhattan
2022-11-30 23:59:07+00:00,2022-12-01 00:07:28+00:00,1.970000000,9.000000000,1,15.360000000,Manhattan
2022-11-30 23:59:06+00:00,2022-12-01 00:14:52+00:00,4.880000000,15.500000000,2,19.300000000,Manhattan
2022-11-30 23:59:05+00:00,2022-12-01 00:07:25+00:00,1.800000000,8.000000000,1,12.800000000,Manhattan
2022-11-30 23:59:02+00:00,2022-12-01 00:26:12+00:00,6.580000000,23.500000000,1,32.760000000,Manhattan
2022-11-30 23:58:59+00:00,2022-12-01 00:19:32+00:00,4.200000000,15.000000000,1,22.550000000,Manhattan
2022-11-30 23:58:58+00:00,2022-12-01 00:12:22+00:00,2.640000000,11.000000000,1,16.280000000,Manhattan
2022-11-30 23:58:58+00:00,2022-12-01 00:06:50+00:00,1.550000000,7.500000000,1,14.130000000,Manhattan
2022-11-30 23:58:57+00:00,2022-12-01 00:27:58+00:00,6.290000000,23.500000000,1,32.760000000,Manhattan
2022-11-30 23:58:56+00:00,2022-12-01 00:02:00+00:00,1.110000000,5.000000000,1,10.560000000,Manhattan
2022-11-30 23:58:55+00:00,2022-12-01 00:04:03+00:00,1.300000000,6.500000000,1,12.850000000,Manhattan
2022-11-30 23:58:55+00:00,2022-12-01 00:07:43+00:00,1.680000000,8.000000000,1,14.160000000,Manhattan
2022-11-30 23:58:54+00:00,2022-12-01 00:27:15+00:00,11.660000000,34.500000000,1,47.880000000,Manhattan
2022-11-30 23:58:54+00:00,2022-12-01 00:03:46+00:00,1.370000000,6.000000000,2,9.800000000,Manhattan
