vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month,borough
2,2022-11-30 22:31:47+00:00,2022-11-30 22:34:12+00:00,1,0.560000000,1.0,N,2,4.000000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,5.300000000,255,112,2022,11,Brooklyn
1,2022-11-30 22:30:23+00:00,2022-11-30 22:56:28+00:00,2,13.500000000,5.0,N,2,60.000000000,0E-9,0E-9,0E-9,0E-9,0.300000000,0E-9,60.300000000,97,130,2022,11,Brooklyn
1,2022-11-30 22:29:42+00:00,2022-11-30 23:24:52+00:00,1,0E-9,99.0,N,1,22.200000000,0E-9,0.500000000,0E-9,0E-9,0.300000000,0E-9,23.000000000,181,11,2022,11,Brooklyn
2,2022-11-30 22:29:05+00:00,2022-11-30 22:43:54+00:00,1,3.450000000,1.0,N,1,13.500000000,0.500000000,0.500000000,5.000000000,0E-9,0.300000000,0E-9,22.300000000,181,87,2022,11,Brooklyn
2,2022-11-30 22:27:53+00:00,2022-11-30 22:35:39+00:00,1,1.400000000,1.0,N,1,7.000000000,0.500000000,0.500000000,1.660000000,0E-9,0.300000000,0E-9,9.960000000,25,33,2022,11,Brooklyn
1,2022-11-30 22:27:39+00:00,2022-11-30 22:54:35+00:00,2,7.400000000,1.0,N,1,26.000000000,3.000000000,0.500000000,5.950000000,0E-9,0.300000000,0E-9,35.750000000,181,233,2022,11,Brooklyn
2,2022-11-30 22:27:09+00:00,2022-11-30 22:27:22+00:00,1,0E-9,1.0,N,2,2.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,3.800000000,89,89,2022,11,Brooklyn
2,2022-11-30 22:27:09+00:00,2022-11-30 22:27:22+00:00,1,0E-9,1.0,N,2,-2.500000000,-0.500000000,-0.500000000,0E-9,0E-9,-0.300000000,0E-9,-3.800000000,89,89,2022,11,Brooklyn
1,2022-11-30 22:26:26+00:00,2022-11-30 22:44:35+00:00,2,2.400000000,1.0,N,1,13.000000000,0.500000000,0.500000000,2.850000000,0E-9,0.300000000,0E-9,17.150000000,256,97,2022,11,Brooklyn
2,2022-11-30 22:26:13+00:00,2022-11-30 22:40:09+00:00,,2.040000000,,,0,12.480000000,0E-9,0.500000000,2.660000000,0E-9,0.300000000,,15.940000000,25,61,2022,11,Brooklyn
2,2022-11-30 22:25:09+00:00,2022-11-30 22:43:46+00:00,1,6.040000000,1.0,N,1,19.500000000,0.500000000,0.500000000,4.160000000,0E-9,0.300000000,0E-9,24.960000000,80,80,2022,11,Brooklyn
1,2022-11-30 22:23:55+00:00,2022-11-30 22:34:24+00:00,1,1.700000000,1.0,N,2,9.000000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,10.300000000,149,21,2022,11,Brooklyn
1,2022-11-30 22:23:09+00:00,2022-11-30 22:39:04+00:00,2,2.200000000,1.0,N,1,12.000000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,13.300000000,189,33,2022,11,Brooklyn
2,2022-11-30 22:22:00+00:00,2022-11-30 22:22:04+00:00,1,0E-9,5.0,N,1,40.000000000,0E-9,0E-9,12.090000000,0E-9,0.300000000,0E-9,52.390000000,62,62,2022,11,Brooklyn
2,2022-11-30 22:18:28+00:00,2022-11-30 22:18:42+00:00,1,0E-9,5.0,N,1,30.850000000,0E-9,0E-9,6.230000000,0E-9,0.300000000,0E-9,37.380000000,112,112,2022,11,Brooklyn
2,2022-11-30 22:16:54+00:00,2022-11-30 22:20:20+00:00,1,0.280000000,1.0,N,2,4.000000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,5.300000000,189,181,2022,11,Brooklyn
2,2022-11-30 22:16:33+00:00,2022-11-30 22:43:46+00:00,,6.980000000,,,0,28.710000000,0E-9,0.500000000,3.200000000,0E-9,0.300000000,,35.210000000,34,50,2022,11,Brooklyn
1,2022-11-30 22:15:33+00:00,2022-11-30 22:52:36+00:00,1,0E-9,99.0,N,1,53.200000000,0E-9,0.500000000,0E-9,6.550000000,0.300000000,0E-9,60.550000000,49,32,2022,11,Brooklyn
1,2022-11-30 22:15:27+00:00,2022-11-30 22:23:15+00:00,1,2.500000000,1.0,N,1,9.500000000,3.000000000,0.500000000,2.000000000,0E-9,0.300000000,0E-9,15.300000000,65,148,2022,11,Brooklyn
2,2022-11-30 22:12:34+00:00,2022-11-30 22:22:37+00:00,1,2.260000000,1.0,N,2,9.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,10.800000000,112,226,2022,11,Brooklyn
1,2022-11-30 22:11:59+00:00,2022-11-30 22:29:27+00:00,1,12.200000000,1.0,N,3,33.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,34.800000000,149,132,2022,11,Brooklyn
